
image=npc_werewolf_orange.png

[stance]
frames=8
duration=800ms
type=back_forth
frame=0,0,206,373,45,36,21,30
frame=0,1,395,207,36,43,18,35
frame=0,2,47,714,25,49,11,37
frame=0,3,159,684,39,44,16,35
frame=0,4,346,283,50,37,23,30
frame=0,5,269,567,39,33,17,24
frame=0,6,446,646,26,29,12,21
frame=0,7,436,362,37,34,19,24
frame=1,0,251,327,47,36,21,30
frame=1,1,269,479,37,44,18,35
frame=1,2,398,554,25,50,11,37
frame=1,3,201,517,40,44,18,35
frame=1,4,421,102,52,37,24,30
frame=1,5,394,250,40,33,18,24
frame=1,6,446,675,26,29,12,21
frame=1,7,434,175,38,33,19,23
frame=2,0,308,564,46,36,20,30
frame=2,1,269,523,38,44,18,35
frame=2,2,72,714,25,49,11,37
frame=2,3,202,600,40,44,18,35
frame=2,4,114,763,51,38,24,31
frame=2,5,166,182,41,35,18,26
frame=2,6,396,732,26,31,12,23
frame=2,7,200,728,39,34,19,24
frame=3,0,346,320,51,37,20,31
frame=3,1,207,72,42,44,18,36
frame=3,2,423,554,25,50,11,38
frame=3,3,207,116,42,43,20,35
frame=3,4,57,103,54,38,28,31
frame=3,5,354,564,44,36,21,27
frame=3,6,422,732,26,32,12,24
frame=3,7,207,159,42,36,19,26
frame=4,0,253,442,49,37,20,31
frame=4,1,209,195,40,45,18,36
frame=4,2,346,476,25,51,11,38
frame=4,3,155,640,41,44,19,35
frame=4,4,61,763,53,38,27,31
frame=4,5,396,283,43,36,20,27
frame=4,6,322,754,26,32,12,24
frame=4,7,396,518,40,36,19,26
frame=5,0,346,527,46,37,20,31
frame=5,1,307,520,39,44,18,36
frame=5,2,97,714,25,49,11,38
frame=5,3,311,600,39,43,17,35
frame=5,4,165,296,49,38,23,31
frame=5,5,264,642,40,36,17,27
frame=5,6,348,760,26,32,12,24
frame=5,7,304,643,40,36,19,26
frame=6,0,251,363,47,37,20,31
frame=6,1,435,57,38,45,18,36
frame=6,2,371,474,25,51,11,38
frame=6,3,198,684,40,44,18,35
frame=6,4,155,375,51,38,25,31
frame=6,5,431,208,41,36,18,27
frame=6,6,374,763,26,32,12,24
frame=6,7,434,139,39,36,19,26
frame=7,0,346,320,51,37,20,31
frame=7,1,207,72,42,44,18,36
frame=7,2,423,554,25,50,11,38
frame=7,3,207,116,42,43,20,35
frame=7,4,57,103,54,38,28,31
frame=7,5,354,564,44,36,21,27
frame=7,6,422,732,26,32,12,24
frame=7,7,207,159,42,36,19,26

[shoot]
frames=4
duration=400ms
type=play_once
frame=0,0,188,0,70,39,33,35
frame=0,1,0,58,57,52,28,43
frame=0,2,122,712,37,51,15,43
frame=0,3,382,0,61,47,21,42
frame=0,4,118,0,70,40,29,36
frame=0,5,98,334,57,42,21,36
frame=0,6,212,240,37,47,14,40
frame=0,7,102,217,60,40,32,36
frame=1,0,57,51,54,52,26,48
frame=1,1,0,110,48,60,27,54
frame=1,2,0,170,44,63,18,54
frame=1,3,0,0,56,58,18,52
frame=1,4,56,0,62,51,25,47
frame=1,5,98,376,56,41,18,38
frame=1,6,165,763,43,38,14,36
frame=1,7,154,600,48,40,27,38
frame=2,0,0,479,59,46,31,39
frame=2,1,105,479,44,51,26,44
frame=2,2,175,76,32,55,13,46
frame=2,3,0,432,56,47,21,43
frame=2,4,320,0,62,41,24,39
frame=2,5,154,559,47,41,15,37
frame=2,6,446,604,27,42,11,35
frame=2,7,102,617,52,41,28,35
frame=3,0,0,525,56,44,25,37
frame=3,1,56,430,37,49,16,42
frame=3,2,241,488,28,52,13,44
frame=3,3,162,217,47,44,22,41
frame=3,4,249,73,57,39,26,37
frame=3,5,201,561,41,39,16,33
frame=3,6,240,644,24,40,9,31
frame=3,7,348,437,47,37,20,32

[run]
frames=8
duration=533ms
type=looped
frame=0,0,105,178,61,39,24,33
frame=0,1,0,714,47,49,18,40
frame=0,2,242,540,27,50,12,42
frame=0,3,56,529,49,45,21,40
frame=0,4,0,763,61,38,29,33
frame=0,5,346,241,48,42,21,36
frame=0,6,334,709,24,45,10,40
frame=0,7,159,413,47,42,19,36
frame=1,0,258,0,62,40,24,35
frame=1,1,52,333,46,50,17,42
frame=1,2,321,241,25,53,10,44
frame=1,3,0,284,51,50,23,41
frame=1,4,44,176,61,40,29,35
frame=1,5,251,284,47,43,21,39
frame=1,6,448,704,24,46,9,43
frame=1,7,206,409,47,43,18,39
frame=2,0,111,144,62,34,26,32
frame=2,1,52,383,46,47,19,40
frame=2,2,298,241,23,54,9,43
frame=2,3,0,334,52,50,23,40
frame=2,4,48,141,63,35,29,32
